title,link,cited,relatedLink,position,numOfVersions,publishedData,snippet
Internet,https://dourish.com/~dourishc/classes/readings/MillerSlater-InternetChapter1.pdf,Cited by 3181,"https://scholar.google.com/scholar?q=related:XLHlA4Gw1bgJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",1,All 11 versions,"D Miller, D Slater - 2000 - dourish.com","Why should we do an ethnography of the Internet in Trinidad, or of Trinidad on the Internet? Because–contrary to the first generation of Internet literature–the Internet is not a monolithic or placeless 'cyberspace'; rather, it is numerous new technologies, used by diverse people …"
That 'internet of things' thing,http://www.itrco.jp/libraries/RFIDjournal-That%20Internet%20of%20Things%20Thing.pdf,Cited by 4400,"https://scholar.google.com/scholar?q=related:kMgryxpyxD0J:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",2,All 2 versions,"K Ashton - RFID journal, 2009 - itrco.jp","June 22, 2009—I could be wrong, but I'm fairly sure the phrase"" Internet of Things"" started life as the title of a presentation I made at Procter & Gamble (P&G) in 1999. Linking the new idea of RFID in P&G's supply chain to the then-red-hot topic of the Internet was more than …"
The internet shopper,https://go.gale.com/ps/i.do?id=GALE%7CA60072293&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00218499&p=AONE&sw=w,Cited by 1620,"https://scholar.google.com/scholar?q=related:7qCXLnDa1fMJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",3,,"N Donthu, A Garcia - Journal of advertising research, 1999 - go.gale.com","Based on a telephone survey, the authors found that Internet shoppers are older and make more money than Internet non-shoppers. Internet shoppers are more convenience seekers, innovative, impulsive, variety seekers, and less risk averse than Internet non-shoppers are …"
Building internet firewalls,https://dl.acm.org/citation.cfm?id=546418,Cited by 753,"https://scholar.google.com/scholar?q=related:3Gh6AmcAqokJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",4,All 5 versions,"DB Chapman, ED Zwicky, D Russell - 1995 - dl.acm.org","More than a million systems are now connected to the Internet, and something like 15 million people in 100 countries on all seven continents use Internet services. More than 100 million email messages are exchanged each day, along with countless files, documents, and audio …"
Internet paradox revisited,https://spssi.onlinelibrary.wiley.com/doi/abs/10.1111/1540-4560.00248,Cited by 3021,"https://scholar.google.com/scholar?q=related:GzXrD7LMgQkJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",5,All 17 versions,"R Kraut, S Kiesler, B Boneva, J Cummings… - Journal of social …, 2002 - Wiley Online Library","Kraut et al.(1998) reported negative effects of using the Internet on social involvement and psychological well‐being among new Internet users in 1995–96. We called the effects a “paradox” because participants used the Internet heavily for communication, which generally …"
Economic growth and income inequality,https://www.jstor.org/stable/1811581,Cited by 15182,"https://scholar.google.com/scholar?q=related:NbQCGAdyA9oJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",1,All 12 versions,"S Kuznets - The American economic review, 1955 - JSTOR",The central theme of this paper is the character and causes of longterm changes in the personal distribution of income. Does inequality in the distribution of income increase or decrease in the course of a country's economic growth? What factors determine the secular …
The quantum internet,https://www.nature.com/articles/nature07127,Cited by 3807,"https://scholar.google.com/scholar?q=related:mtIiIujaqy0J:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",6,All 18 versions,"HJ Kimble - Nature, 2008 - nature.com","Quantum networks provide opportunities and challenges across a range of intellectual and technical frontiers, including quantum computation, communication and metrology. The realization of quantum networks composed of many nodes and channels requires new …"
Internet economics,https://books.google.com/books?hl=en&lr=&id=PQZGJnKH4KwC&oi=fnd&pg=PP13&dq=internet&ots=GlkbI_1ngB&sig=66OlT3qopgYvtbB3mOzOprSkaKk,Cited by 411,"https://scholar.google.com/scholar?q=related:TXBAVKJEclgJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",7,All 5 versions,"LW McKnight, JP Bailey - 1998 - books.google.com","The Internet has rapidly become an important element of the economic system. The lack of accepted metrics for economic analysis of Internet transactions is therefore increasingly problematic. This book, one of the first to bring together research on Internet engineering …"
Internet protocol,http://www.hjp.at/doc/rfc/rfc791.html,Cited by 4343,"https://scholar.google.com/scholar?q=related:yikVUb3E9cgJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",8,All 3 versions,J Postel - 1981 - hjp.at,"Rfc, 0791. Title, Internet Protocol. Author, J. Postel. Date, September 1981. Format: TXT=97779,
HTML=0 bytes. Obsoletes, RFC0760 … Also, STD0005. Status: INTERNET STANDARD. RFC: 791
INTERNET PROTOCOL DARPA INTERNET PROGRAM PROTOCOL SPECIFICATION September …"
Future internet: The internet of things,https://ieeexplore.ieee.org/abstract/document/5579543/,Cited by 984,"https://scholar.google.com/scholar?q=related:Yr_hoLUuHMcJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",9,All 3 versions,"L Tan, N Wang - … conference on advanced computer theory and …, 2010 - ieeexplore.ieee.org","Nowadays, the main communication form on the Internet is human-human. But it is foreseeable that in a near soon that any object will have a unique way of identification and can be addressed so that every object can be connected. The Internet will become to the …"
"Social capital, income inequality, and mortality.",https://ajph.aphapublications.org/doi/abs/10.2105/ajph.87.9.1491,Cited by 4008,"https://scholar.google.com/scholar?q=related:t7OCNxQadTQJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",2,All 18 versions,"I Kawachi, BP Kennedy, K Lochner… - … journal of public …, 1997 - ajph.aphapublications.org","OBJECTIVES: Recent studies have demonstrated that income inequality is related to mortality rates. It was hypothesized, in this study, that income inequality is related to reduction in social cohesion and that disinvestment in social capital is in turn associated with …"
Decomposable income inequality measures,https://www.jstor.org/stable/1914138,Cited by 1467,"https://scholar.google.com/scholar?q=related:tn_e-c78ylcJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",3,All 13 versions,"F Bourguignon - Econometrica: Journal of the Econometric Society, 1979 - JSTOR","A decomposable inequality measure is defined as a measure such that the total inequality of a population can be broken down into a weighted average of the inequality existing within subgroups of the population and the inequality existing between them. Thus, decomposable …"
Standardizing the World Income Inequality Database*,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6237.2009.00614.x,Cited by 1208,"https://scholar.google.com/scholar?q=related:wNX00fEjV4AJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",4,All 13 versions,"F Solt - Social Science Quarterly, 2009 - Wiley Online Library",Objective. Cross‐national research on the causes and consequences of income inequality has been hindered by the limitations of existing inequality data sets: greater coverage across countries and over time is available from these sources only at the cost of …
Income inequality and happiness,https://journals.sagepub.com/doi/abs/10.1177/0956797611417262,Cited by 594,"https://scholar.google.com/scholar?q=related:0Ec1k_IaTwkJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",5,All 17 versions,"S Oishi, S Kesebir, E Diener - Psychological science, 2011 - journals.sagepub.com","Using General Social Survey data from 1972 to 2008, we found that Americans were on average happier in the years with less national income inequality than in the years with more national income inequality. We further demonstrated that this inverse relation between …"
The Internet Standards Process--Revision 3,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.180.8915,Cited by 1208,"https://scholar.google.com/scholar?q=related:W1YSa-C9KkAJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",10,All 4 versions,"S Bradner - BCP 9, RFC, 1996 - Citeseer","Abstract a proposed revision of part of RFC 1602< draft-ietf-poised95-std-proc-3-05. txt> This document is an Internet-Draft. Internet-Drafts are working documents of the Internet Engineering Task Force (IETF), its areas, and its Working Groups. Note that other groups …"
Income inequality and income segregation,https://www.journals.uchicago.edu/doi/abs/10.1086/657114,Cited by 771,"https://scholar.google.com/scholar?q=related:IM3-MWpSQ7AJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",6,All 12 versions,"SF Reardon, K Bischoff - American Journal of Sociology, 2011 - journals.uchicago.edu","This article investigates how the growth in income inequality from 1970 to 2000 affected patterns of income segregation along three dimensions: the spatial segregation of poverty and affluence, race-specific patterns of income segregation, and the geographic scale of …"
Does corruption affect income inequality and poverty?,https://link.springer.com/content/pdf/10.1007/s101010100039.pdf,Cited by 1913,"https://scholar.google.com/scholar?q=related:u-2jyyoTDdQJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",7,All 20 versions,"S Gupta, H Davoodi, R Alonso-Terme - Economics of governance, 2002 - Springer",This paper provides evidence that high and rising corruption increases income inequality and poverty. An increase of one standard deviation in corruption increases the Gini coefficient of income inequality by about 11 points and income growth of the poor by about 5 …
A new data set measuring income inequality,https://academic.oup.com/wber/article-abstract/10/3/565/1658010,Cited by 4000,"https://scholar.google.com/scholar?q=related:dLrTpVWUg2IJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",8,All 24 versions,"K Deininger, L Squire - The World Bank Economic Review, 1996 - academic.oup.com",This article presents a new data set on inequality in the distribution of income. The authors explain the criteria they applied in selecting data on Gini coefficients and on individual quintile groups' income shares. Comparison of the new data set with existing compilations …
The standardized world income inequality database,https://onlinelibrary.wiley.com/doi/abs/10.1111/ssqu.12295,Cited by 1010,"https://scholar.google.com/scholar?q=related:oWtLS1Kzt84J:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",9,All 14 versions,"F Solt - Social science quarterly, 2016 - Wiley Online Library","Objective Since 2008, the Standardized World Income Inequality Database (SWIID) has provided income inequality data that seek to maximize comparability while providing the broadest possible coverage of countries and years. This article describes the current …"
Does income inequality lead to consumption inequality? Evidence and theory,https://academic.oup.com/restud/article-abstract/73/1/163/1591846,Cited by 1203,"https://scholar.google.com/scholar?q=related:1eww50SK7P0J:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",10,All 49 versions,"D Krueger, F Perri - The Review of Economic Studies, 2006 - academic.oup.com","Using data from the Consumer Expenditure Survey, we first document that the recent increase in income inequality in the US has not been accompanied by a corresponding rise in consumption inequality. Much of this divergence is due to different trends in within-group …"
Strategy and the Internet,https://140.78.51.40/static/0855380/files/strategy%20and%20the%20internet.pdf,Cited by 7732,"https://scholar.google.com/scholar?q=related:xwc8VLlMVqsJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",11,All 34 versions,"ME Porter, Michael; ilustraciones Gibbs - 2001 - 140.78.51.40","Does the Internet render established rules about strategy obsolete? To the contrary, it makes them more vital than ever. Why? The Internet weakens industries' profitability, as rivals compete on price alone. And it no longer provides proprietary advantages, as virtually all …"
Inventing the internet,https://books.google.com/books?hl=en&lr=&id=E2BdY6WQo4AC&oi=fnd&pg=PA1&dq=internet&ots=TChvxMbHpW&sig=aDTZPLuNrCE8C5sUW-mjRaRArO4,Cited by 2796,"https://scholar.google.com/scholar?q=related:k0o0cLetmdcJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",12,All 7 versions,J Abbate - 2000 - books.google.com,Janet Abbate recounts the key players and technologies that allowed the Internet to develop; but her main focus is always on the social and cultural factors that influenced the Internet's design and use. Since the late 1960s the Internet has grown from a single experimental …
Predictors of Internet use,https://www.tandfonline.com/doi/abs/10.1207/s15506878jobem4402_2,Cited by 2606,"https://scholar.google.com/scholar?q=related:Cvue8rQtZksJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",13,All 12 versions,"Z Papacharissi, AM Rubin - Journal of broadcasting & electronic …, 2000 - Taylor & Francis","We examined audience uses of the Internet from a uses-and-gratifications perspective. We expected contextual age, unwillingness to communicate, social presence, and Internet motives to predict outcomes of Internet exposure, affinity and satisfaction. The analyses …"
Internet addiction,https://link.springer.com/article/10.2165/00023210-200822050-00001,Cited by 791,"https://scholar.google.com/scholar?q=related:nwDEBw7UiKIJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",14,All 11 versions,"M Shaw, DW Black - CNS drugs, 2008 - Springer","Internet addiction is characterized by excessive or poorly controlled preoccupations, urges or behaviours regarding computer use and internet access that lead to impairment or distress. The condition has attracted increasing attention in the popular media and among …"
Internet addiction or excessive internet use,https://www.tandfonline.com/doi/abs/10.3109/00952990.2010.491880,Cited by 845,"https://scholar.google.com/scholar?q=related:mdlwwvZDSZwJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",15,All 12 versions,"A Weinstein, M Lejoyeux - The American journal of drug and …, 2010 - Taylor & Francis","Background: Problematic Internet addiction or excessive Internet use is characterized by excessive or poorly controlled preoccupations, urges, or behaviors regarding computer use and Internet access that lead to impairment or distress. Currently, there is no recognition of …"
Internet banking,https://link.springer.com/article/10.1023/A:1016012703620,Cited by 587,"https://scholar.google.com/scholar?q=related:adddQejkJo4J:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",16,All 26 versions,"K Furst, WW Lang, DE Nolle - Journal of Financial Services Research, 2002 - Springer","We use multivariate logistic regressions to identify factors affecting adoption of Internet banking. These factors include membership in a bank holding company, an urban location, and relatively higher premises and other fixed expenses to net operating revenue, higher …"
Advertising on the Internet,https://dl.acm.org/citation.cfm?id=554113,Cited by 576,"https://scholar.google.com/scholar?q=related:m5wpk6dJ5AUJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",17,All 2 versions,"RL Zeff, B Aronson - 1999 - dl.acm.org",This updated and expanded Second Edition of the bestselling guide to online advertising is must reading for everyone who wants to take advantage of the most important new advertising medium since television. A complete primer on online advertising for businesses …
Internet research methods,https://onlinelibrary.wiley.com/doi/abs/10.1002/9781118445112.stat06720.pub2,Cited by 808,"https://scholar.google.com/scholar?q=related:LeTudm8he6oJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",18,All 11 versions,"C Hewson, DW Stewart - Wiley StatsRef: Statistics reference …, 2014 - Wiley Online Library",This article provides an introduction to the use of the Internet as a research tool. Methods for searching the Internet for secondary sources of information are explained and representative search tools and information resources are identified. Issues related to the …
Modeling internet topology,https://ieeexplore.ieee.org/abstract/document/587723/,Cited by 1356,"https://scholar.google.com/scholar?q=related:n-9zmEwxitkJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",19,All 24 versions,"KL Calvert, MB Doar, EW Zegura - IEEE Communications …, 1997 - ieeexplore.ieee.org","The topology of a network, or a group of networks such as the Internet, has a strong bearing on many management and performance issues. Good models of the topological structure of a network are essential for developing and analyzing internetworking technology. This …"
Internet of things,https://www.academia.edu/download/40650301/danainfo.acppwiszgmk2n0u279qu76contentserver.pdf,Cited by 932,"https://scholar.google.com/scholar?q=related:z2SYU_OYHhAJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",20,All 7 versions,"F Xia, LT Yang, L Wang, A Vinel - International journal of …, 2012 - academia.edu","We are witnessing the dawn of a new era of Internet of Things (IoT; also known as Internet of Objects). Generally speaking, IoT refers to the networked interconnection of everyday objects, which are often equipped with ubiquitous intelligence. IoT will increase the ubiquity …"
Income inequality and poverty,http://www-wds.worldbank.org/external/default/WDSContentServer/IW3P/IB/2000/01/20/000178830_98101911003475/Rendered/PDF/multi_page.pdf,Cited by 1442,"https://scholar.google.com/scholar?q=related:gA47Ts--ZOMJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",11,All 8 versions,NC Kakwani - 1980 - www-wds.worldbank.org,"THE METHODOLOGY of the size distribution of income deals with the distribution of income among individuals. Ideally, its analysis should employ both theoretical economics and statistical inference, although empirical data have been the main analytic tool in the last …"
"Democracy, economic development, and income inequality",https://www.jstor.org/stable/2095732,Cited by 727,"https://scholar.google.com/scholar?q=related:Jyk_mwgD-SoJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",12,All 3 versions,"EN Muller - American Sociological Review, 1988 - JSTOR",Most cross-national tests of inverse association between democracy and inequality have operationalized the concept of democracy by measuring its level at a single point in time. More compelling theoretical arguments can be made for causal relationships that operate …
A theory of persistent income inequality,https://link.springer.com/content/pdf/10.1007/BF00163343.pdf,Cited by 1056,"https://scholar.google.com/scholar?q=related:ELFiuecdhcsJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",13,All 16 versions,"SN Durlauf - Journal of Economic growth, 1996 - Springer",This paper explores the dynamics of income inequality by studying the evolution of human capital investment and neighborhood choice for a population of families. Parents affect the conditional probability distribution of their children's income through the choice of a …
Income inequality in today's China,https://www.pnas.org/content/111/19/6928.short,Cited by 575,"https://scholar.google.com/scholar?q=related:6SwFYdvmou4J:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",14,All 9 versions,"Y Xie, X Zhou - Proceedings of the National Academy of …, 2014 - National Acad Sciences","Using multiple data sources, we establish that China9s income inequality since 2005 has reached very high levels, with the Gini coefficient in the range of 0.53–0.55. Analyzing comparable survey data collected in 2010 in China and the United States, we examine …"
Income inequality and health: pathways and mechanisms.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1088996/,Cited by 798,"https://scholar.google.com/scholar?q=related:qkFsPmRWoRcJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",15,All 7 versions,"I Kawachi, BP Kennedy - Health services research, 1999 - ncbi.nlm.nih.gov","The relationship between income and health is well established: the higher an individual's income, the better his or her health. However, recent research suggests that health may also be affected by the distribution of income within society. We outline the potential mechanisms …"
Income inequality and health: a causal review,https://www.sciencedirect.com/science/article/pii/S0277953614008399,Cited by 960,"https://scholar.google.com/scholar?q=related:Vd7Pc0dXPgoJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",16,All 20 versions,"KE Pickett, RG Wilkinson - Social science & medicine, 2015 - Elsevier","There is a very large literature examining income inequality in relation to health. Early reviews came to different interpretations of the evidence, though a large majority of studies reported that health tended to be worse in more unequal societies. More recent studies, not …"
"Income inequality in France, 1901–1998",https://www.journals.uchicago.edu/doi/abs/10.1086/376955,Cited by 680,"https://scholar.google.com/scholar?q=related:HhI1PapwYZgJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",17,All 19 versions,"T Piketty - Journal of political economy, 2003 - journals.uchicago.edu","This paper uses data from income tax returns (1915–98), wage tax returns (1919–98), and inheritance tax returns (1902–94) in order to compute homogeneous, yearly estimates of income, wage, and wealth inequality for twentieth-century France. The main conclusion is …"
Income inequality measures,https://jech.bmj.com/content/61/10/849.short,Cited by 385,"https://scholar.google.com/scholar?q=related:Gj_LoefSpkQJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",18,All 13 versions,"FG De Maio - Journal of Epidemiology & Community Health, 2007 - jech.bmj.com","The Gini coefficient has been the most popular method for operationalising income inequality in the public health literature. However, a number of alternative methods exist, and they offer researchers the means to develop a more nuanced understanding of the …"
Cross-national comparisons of earnings and income inequality,https://www.jstor.org/stable/2729789,Cited by 1824,"https://scholar.google.com/scholar?q=related:s3DStaNPLc0J:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",19,All 12 versions,"P Gottschalk, TM Smeeding - Journal of economic literature, 1997 - JSTOR",JNTEREST IN THE distribution of earnings and the distribution of household income was largely a parochial backwater of economic research in the United States until the early 1980s. This lack of interest reflected the view that both the functional and personal …
"Income inequality in the United States, 1913–1998",https://academic.oup.com/qje/article-abstract/118/1/1/1917000,Cited by 4231,"https://scholar.google.com/scholar?q=related:BXTIXoDL2R8J:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",20,All 38 versions,"T Piketty, E Saez - The Quarterly journal of economics, 2003 - academic.oup.com",This paper presents new homogeneous series on top shares of income and wages from 1913 to 1998 in the United States using individual tax returns data. Top income and wages shares display a U-shaped pattern over the century. Our series suggest that the large shocks …
Pricing the internet,https://books.google.com/books?hl=en&lr=&id=_ZVFWAQUossC&oi=fnd&pg=PA269&dq=internet&ots=tjE6bHRkoF&sig=Xncuw4f7gDaGmkJa2uSFqzTt2YU,Cited by 901,"https://scholar.google.com/scholar?q=related:jrgGw3JwBiwJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",21,All 13 versions,"JK MacKie-Mason, HR Varian - Public access to the Internet, 1995 - books.google.com","On December 23, 1992 the National Science Foundation (NSF) announced that it will cease funding the ANS T3 Internet backbone in the near future. This is a major step in the transition from a government-funded to a commercial Internet. This movement has been welcomed by …"
On the internet,https://books.google.com/books?hl=en&lr=&id=fO-SAgAAQBAJ&oi=fnd&pg=PT7&dq=internet&ots=sz02MYwORf&sig=ssLYMq0Mpfuo0_BGcn6U6o3dnfc,Cited by 1567,"https://scholar.google.com/scholar?q=related:gMM_6XENrhsJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",22,All 11 versions,HL Dreyfus - 2008 - books.google.com,"Can the internet solve the problem of mass education, and bring human beings to a new level of community? Drawing on a diverse array of thinkers from Plato to Kierkegaard, On the Internet argues that there is much in common between the disembodied, free floating web …"
"The Internet galaxy: Reflections on the Internet, business, and society",https://books.google.com/books?hl=en&lr=&id=Q1Mo-3ObWWgC&oi=fnd&pg=IA2&dq=internet&ots=w0TM14Lbek&sig=Jk7_jNTJ8HoObWRWxskA4gYJTyI,Cited by 8188,"https://scholar.google.com/scholar?q=related:zThD5D_S_kgJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",23,All 6 versions,M Castells - 2002 - books.google.com,"The Web has been with us for less than a decade. The popular and commercial diffusion of the Internet has been extraordinary-instigating and enabling changes in virtually every area of human activity and society. We have new systems of communication, new businesses …"
Internet addiction: does it really exist?,https://psycnet.apa.org/record/1998-06638-003,Cited by 863,"https://scholar.google.com/scholar?q=related:4M8lW9Ffe_EJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",24,All 5 versions,M Griffiths - 1998 - psycnet.apa.org,"Attempts to separate the empirical research from the media hype to assess whether Internet addiction is a bona fide addiction. Issues addressed include the concept of addiction, the rise of"" Internet addiction,"" survey research on excessive Internet use, case studies of …"
Misunderstanding the internet,https://books.google.com/books?hl=en&lr=&id=4GeFCwAAQBAJ&oi=fnd&pg=PP1&dq=internet&ots=R7kzFZxeO1&sig=WeodLMs3Nbzsp1ObWxQY84ceqiI,Cited by 493,"https://scholar.google.com/scholar?q=related:dJ0VNO3CQ2wJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",25,All 12 versions,"J Curran, N Fenton, D Freedman - 2016 - books.google.com","The growth of the internet has been spectacular. There are now more than 3 billion internet users across the globe, some 40 per cent of the world's population. The internet's meteoric rise is a phenomenon of enormous significance for the economic, political and social life of …"
Loneliness and Internet use,https://www.sciencedirect.com/science/article/pii/S0747563202000146,Cited by 750,"https://scholar.google.com/scholar?q=related:lDJNVenNMUAJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",26,All 9 versions,"Y Amichai-Hamburger, E Ben-Artzi - Computers in human behavior, 2003 - Elsevier","The Internet is becoming increasingly influential, but some observers have noted that heavy Internet users seem alienated from normal social contacts and may even cut these off as the Internet becomes the predominate social factor in their lives. Kraut, Patterson, Lundmark …"
Internet society: The Internet in everyday life,https://books.google.com/books?hl=en&lr=&id=ztuuK132WvgC&oi=fnd&pg=PP1&dq=internet&ots=IAdqj8Pt-g&sig=JvqTmkag6X1aU1W58AxHziazlHI,Cited by 1081,"https://scholar.google.com/scholar?q=related:SppHhZttWnYJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",27,All 5 versions,M Bakardjieva - 2005 - books.google.com,"A highly topical, interesting and lively analysis of ordinary internet use, based on both theoretically competent reflections and sound ethnographic material'-Joost van Loon, Reader in Social Theory at Nottingham Trent University Internet Society investigates internet  …"
Internet culture,https://books.google.com/books?hl=en&lr=&id=KQLaAAAAQBAJ&oi=fnd&pg=PP1&dq=internet&ots=12Eqw84_0Z&sig=zyx1h4ig_VmZ2IpwyO2F2DKtLxI,Cited by 598,"https://scholar.google.com/scholar?q=related:oSQLBNEeK3UJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",28,All 5 versions,D Porter - 2013 - books.google.com,"The internet has recently grown from a fringe cultural phenomenon to a significant site of cultural production and transformation. Internet Culture maps this new domain of language, politics and identity, locating it within the histories of communication and the public sphere …"
Problematic Internet use or Internet addiction?,https://www.sciencedirect.com/science/article/pii/S0747563205000439,Cited by 586,"https://scholar.google.com/scholar?q=related:IK76H_FNt3gJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",29,All 10 versions,"PM Yellowlees, S Marks - Computers in human behavior, 2007 - Elsevier","The aim of this paper is to review the gradually evolving body of the literature on Internet addiction. Two schools of thought have emerged: those authors who believe that Internet addiction merits classification as a new or emerging psychiatric disorder in its own right, and …"
Issues for DSM-V: Internet addiction,https://ajp.psychiatryonline.org/doi/abs/10.1176/appi.ajp.2007.07101556,Cited by 1646,"https://scholar.google.com/scholar?q=related:Yk_VOjDlrygJ:scholar.google.com/&scioq=internet&hl=en&as_sdt=0,5",30,All 4 versions,JJ Block - 2008 - Am Psychiatric Assoc,"Conceptually, the diagnosis is a compulsive-impulsive spectrum disorder that involves online and/or offline computer usage (1, 2) and consists of at least three subtypes: excessive gaming, sexual preoccupations, and e-mail/text messaging (3). All of the variants share the …"
"Income inequality, equality of opportunity, and intergenerational mobility",https://www.aeaweb.org/articles?id=10.1257/jep.27.3.79,Cited by 1492,"https://scholar.google.com/scholar?q=related:V2N_7pPxhS0J:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",21,All 28 versions,"M Corak - Journal of Economic Perspectives, 2013 - aeaweb.org","My focus is on the degree to which increasing inequality in the high-income countries, particularly in the United States, is likely to limit economic mobility for the next generation of young adults. I discuss the underlying drivers of opportunity that generate the relationship …"
From income inequality to economic inequality,https://www.jstor.org/stable/1060857,Cited by 396,"https://scholar.google.com/scholar?q=related:WQVJFOEJCTMJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",22,All 10 versions,"AK Sen - Southern Economic Journal, 1997 - JSTOR","I begin by recounting a true story-a rather trivial and innocuous story, as it happens, but one with something of a lesson. Some years ago, when I went to give a lecture at another campus, I chose"" Economic Inequality"" as the title of my talk. On arrival, I found the campus …"
Explaining international and intertemporal variations in income inequality,https://onlinelibrary.wiley.com/doi/abs/10.1111/1468-0297.00271,Cited by 1319,"https://scholar.google.com/scholar?q=related:O7zurpRgsMcJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",23,All 14 versions,"H Li, L Squire, H Zou - The economic journal, 1998 - Wiley Online Library","This paper explores the propositions that, income inequality is relatively stable within countries; and that it varies significantly among countries. A new and expanded data set provides broad support for both propositions. Drawing on a political economy and capital …"
Has consumption inequality mirrored income inequality?,https://www.aeaweb.org/articles?id=10.1257/aer.20120599,Cited by 435,"https://scholar.google.com/scholar?q=related:MVQBj31ZKuAJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",24,All 30 versions,"M Aguiar, M Bils - American Economic Review, 2015 - aeaweb.org",We revisit to what extent the increase in income inequality since 1980 was mirrored by consumption inequality. We do so by constructing an alternative measure of consumption expenditure using a demand system to correct for systematic measurement error in the …
Income inequality effects by income source: A new approach and applications to the United States,https://www.jstor.org/stable/1928447,Cited by 1164,"https://scholar.google.com/scholar?q=related:VkWo54HpN2QJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",25,All 10 versions,"RI Lerman, S Yitzhaki - The review of economics and statistics, 1985 - JSTOR","The paper develops a new approach to determining the marginal impact of various income sources on overall income inequality. We show that each source's contribution to the Gini coefficient may be viewed as the product of the source's own Gini, its share of total income …"
"Income inequality and mortality: importance to health of individual income, psychosocial environment, or material conditions",https://www.bmj.com/content/320/7243/1200.short,Cited by 1824,"https://scholar.google.com/scholar?q=related:0H2koh9O0XIJ:scholar.google.com/&scioq=income+inequality&hl=en&as_sdt=0,5",26,All 19 versions,"JW Lynch, GD Smith, GA Kaplan, JS House - Bmj, 2000 - bmj.com","Methods We reviewed the literature through traditional and electronic means and supplemented this with correlational analyses of gross domestic product and life expectancy and of income inequality and mortality trends based on data from the World Bank, 14 the …"
